project,amt_2025_approved,amt_2025_revised,amt_2025_perf,amt_2026_approved,amt_2026_tag_nutrition,source_page,page_y_top,page_y_bottom,mda_code,mda_name,economic_code,economic_name,function_code,function_name,location_code,location_name,program_code,program_name
Purchase of 1 Power Plant Generator for Deputy Governors'Office,20000000.0,20000000.0,0.0,20000000.0,0.0,326,0.12598,0.14446,011100100200,DEPUTY GOVERNOR'S OFFICE,23010119,PURCHASE OF POWER GENERATING SET,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20530200,BAUCHI,13100123000100,Reform of Government and Governance - General
Purchase of 3 Desktop Computers for Officers,2500000.0,2500000.0,0.0,0.0,0.0,326,0.13606,0.15454,011100100200,DEPUTY GOVERNOR'S OFFICE,23010113,PURCHASE OF COMPUTERS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20530200,BAUCHI,13100123000700,Reform of Government and Governance - General
Purchase of 3 Hp Computer Printers,2500000.0,2500000.0,0.0,0.0,0.0,326,0.14698,0.16546,011100100200,DEPUTY GOVERNOR'S OFFICE,23010114,PURCHASE OF COMPUTER PRINTERS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20530200,BAUCHI,13100123000300,Reform of Government and Governance - General
Purchase of 2 Photocopying Machines for 2 Offices IN Government House,1500000.0,1500000.0,0.0,0.0,0.0,326,0.1579,0.17638,011100100200,DEPUTY GOVERNOR'S OFFICE,23010115,PURCHASE OF PHOTOCOPYING MACHINES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20530200,BAUCHI,13100123000400,Reform of Government and Governance - General
Purchase of 5 Fire Extinguishers and its Accessories.,3000000.0,3000000.0,0.0,3000000.0,0.0,326,0.16798,0.18645,011100100200,DEPUTY GOVERNOR'S OFFICE,23010123,PURCHASE OF FIRE FIGHTING EQUIPMENT,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20530200,BAUCHI,13100123000500,Reform of Government and Governance - General
Purchase of a Projector and Flip Charts for Presentations,1000000.0,1000000.0,0.0,1000000.0,0.0,326,0.1789,0.19737,011100100200,DEPUTY GOVERNOR'S OFFICE,23010148,PURCHASE OF PROJECTOR,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20530200,BAUCHI,13100123000600,Reform of Government and Governance - General
Rehabilitation of Deputy Governor's Office Building,15000000.0,15000000.0,0.0,15000000.0,0.0,326,0.18981,0.20829,011100100200,DEPUTY GOVERNOR'S OFFICE,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20530200,BAUCHI,13100123000700,Reform of Government and Governance - General
Purchase of 30 No. Office Tables and 16No. Chairs for the Office of the Chief of Staff,102300000.0,102300000.0,0.0,102300000.0,0.0,326,0.24273,0.2612,011100100300,OFFICE OF THE CHIEF OF STAFF,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20530200,BAUCHI,13100123003400,Reform of Government and Governance - General
"Renovation of Government Guest Houses in the State Capital, Bauchi",300000000.0,300000000.0,0.0,300000000.0,0.0,326,0.25365,0.27212,011100100300,OFFICE OF THE CHIEF OF STAFF,23030103,REHABILITATION / REPAIRS - HOUSING,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20530200,BAUCHI,13100123003500,Reform of Government and Governance - General
Establishment of e-Library at Government House,0.0,0.0,0.0,350000000.0,0.0,326,0.26456,0.28304,011100100300,OFFICE OF THE CHIEF OF STAFF,23020111,CONSTRUCTION / PROVISION OF LIBRARIES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20530200,BAUCHI,13100123003500,Reform of Government and Governance - General
Purchase of 10 Nos. of Office Chairs and 10 Nos. of Office Tables,3000000.0,3000000.0,1080000.0,4500000.0,0.0,326,0.31832,0.33679,011100300100,STATE BOUNDARY COMMISSION,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70161,GENERAL PUBLIC SERVICES N.E.C.,20530200,BAUCHI,13100123002400,Reform of Government and Governance - General
Purchase of 2 Desktop Computers for the Planning Officers at Boundary Commission,1500000.0,1500000.0,0.0,0.0,0.0,326,0.32839,0.34687,011100300100,STATE BOUNDARY COMMISSION,23010113,PURCHASE OF COMPUTERS,70161,GENERAL PUBLIC SERVICES N.E.C.,20530200,BAUCHI,13100123002500,Reform of Government and Governance - General
Purchase of 2 Nos. of Computers Printers for Planning Officers,1000000.0,1000000.0,0.0,0.0,0.0,326,0.33931,0.35779,011100300100,STATE BOUNDARY COMMISSION,23010114,PURCHASE OF COMPUTER PRINTERS,70161,GENERAL PUBLIC SERVICES N.E.C.,20530200,BAUCHI,13100123002600,Reform of Government and Governance - General
Purchase of 2 No. Photocopying Machine,1000000.0,1000000.0,0.0,0.0,0.0,326,0.35023,0.36871,011100300100,STATE BOUNDARY COMMISSION,23010115,PURCHASE OF PHOTOCOPYING MACHINES,70161,GENERAL PUBLIC SERVICES N.E.C.,20530200,BAUCHI,13100123002700,Reform of Government and Governance - General
Purchase of 1 No. projectors,700000.0,700000.0,0.0,1700000.0,0.0,326,0.36031,0.37879,011100300100,STATE BOUNDARY COMMISSION,23010148,PURCHASE OF PROJECTOR,70161,GENERAL PUBLIC SERVICES N.E.C.,20530200,BAUCHI,13100123002800,Reform of Government and Governance - General
Purchase of Library Books and other Marterials for stocking of the Boundary Commission Library,6000000.0,6000000.0,0.0,7000000.0,0.0,326,0.37123,0.38971,011100300100,STATE BOUNDARY COMMISSION,23010125,PURCHASE OF LIBRARY BOOKS & EQUIPMENT,70161,GENERAL PUBLIC SERVICES N.E.C.,20530200,BAUCHI,13100123002900,Reform of Government and Governance - General
Purchase of 20 Nos. Survey Equipment for Boundary Demacation and other Activities (Both inter and int,10500000.0,10500000.0,18900000.0,11000000.0,0.0,326,0.38215,0.40062,011100300100,STATE BOUNDARY COMMISSION,23010133,PURCHASES OF SURVEYING EQUIPMENT70161 - GENERAL PUBLIC SERVICES N.E.C.,,"ra State, Local Government/District Boundaries)",20530200,BAUCHI,13100123003000,Reform of Government and Governance - General
"Boundary Demarcation Exercises (Both inter and intra State, Local Government/District Boundaries)",15000000.0,15000000.0,14400000.0,20000000.0,0.0,326,0.39307,0.41154,011100300100,STATE BOUNDARY COMMISSION,23020122,CONSTRUCTION OF BOUNDARY PILLARS/ RIGHT OF WAYS,70161,GENERAL PUBLIC SERVICES N.E.C.,20542400,STATE WIDE,13100123003100,Reform of Government and Governance - General
Supervision and Monitoring of Projects along the Boundaries Lines of the State.,5000000.0,5000000.0,1020000.0,10000000.0,0.0,326,0.40314,0.42162,011100300100,STATE BOUNDARY COMMISSION,23050103,MONITORING AND EVALUATION,70161,GENERAL PUBLIC SERVICES N.E.C.,20542400,STATE WIDE,13100123003200,Reform of Government and Governance - General
Annual Special Days Celebration by Boundaries Communities to mark Designated Boundary Demarcation in the State,5000000.0,5000000.0,0.0,7000000.0,0.0,326,0.41406,0.43254,011100300100,STATE BOUNDARY COMMISSION,23050104,ANNIVERSARIES/CELEBRATIONS,70161,GENERAL PUBLIC SERVICES N.E.C.,20530200,BAUCHI,13100123003300,Reform of Government and Governance - General
Purchase 1 Jack Van for Monitoring of Projects.,1000000.0,1000000.0,0.0,0.0,0.0,326,0.46782,0.48629,011101000100,BAUCHI STATE PUBLIC PROCUREMENT BUREAU,23010106,PURCHASE OF VANS,70133,OTHER GENERAL SERVICES,20530200,BAUCHI,13100123000800,Reform of Government and Governance - General
Purchase of 15 nos. of Tables and Chairs for Offices,13500000.0,13500000.0,0.0,30000000.0,0.0,326,0.47789,0.49637,011101000100,BAUCHI STATE PUBLIC PROCUREMENT BUREAU,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70133,OTHER GENERAL SERVICES,20530200,BAUCHI,13100123000900,Reform of Government and Governance - General
Purchase of 10 nos. of Laptops for Key and relevant Officers.,5000000.0,5000000.0,0.0,10000000.0,0.0,326,0.48881,0.50729,011101000100,BAUCHI STATE PUBLIC PROCUREMENT BUREAU,23010113,PURCHASE OF COMPUTERS,70133,OTHER GENERAL SERVICES,20530200,BAUCHI,13100123001000,Reform of Government and Governance - General
Purchase of 4 nos. of Computer Printers for Offices.,1500000.0,1500000.0,0.0,2000000.0,0.0,326,0.49973,0.51821,011101000100,BAUCHI STATE PUBLIC PROCUREMENT BUREAU,23010114,PURCHASE OF COMPUTER PRINTERS,70133,OTHER GENERAL SERVICES,20530200,BAUCHI,13100123001100,Reform of Government and Governance - General
Purchase of Fire Extinguishers and its Accessories,350000.0,350000.0,0.0,1000000.0,0.0,326,0.51065,0.52913,011101000100,BAUCHI STATE PUBLIC PROCUREMENT BUREAU,23010123,PURCHASE OF FIRE FIGHTING EQUIPMENT,70133,OTHER GENERAL SERVICES,20530200,BAUCHI,13100123001200,Reform of Government and Governance - General
Purchase of Professional Books and Publications for the Establishment of a Library.,1000000.0,1000000.0,0.0,3000000.0,0.0,326,0.52073,0.53921,011101000100,BAUCHI STATE PUBLIC PROCUREMENT BUREAU,23010125,PURCHASE OF LIBRARY BOOKS & EQUIPMENT,70133,OTHER GENERAL SERVICES,20530200,BAUCHI,13100123001300,Reform of Government and Governance - General
Purchase of 5 Nos of Security Dictectors equipment and Accessories for the Offices.,1000000.0,1000000.0,0.0,5000000.0,0.0,326,0.53165,0.55012,011101000100,BAUCHI STATE PUBLIC PROCUREMENT BUREAU,23010128,PURCHASE OF SECURITY EQUIPMENT,70133,OTHER GENERAL SERVICES,20530200,BAUCHI,13100123001400,Reform of Government and Governance - General
Purchase of 1 Nos. of Gymnasium Machines and 5 Nos of Mini Exercise Machines for the main Office,250000.0,250000.0,0.0,10000000.0,0.0,326,0.54257,0.56104,011101000100,BAUCHI STATE PUBLIC PROCUREMENT BUREAU,23010126,PURCHASE OF SPORTING / GAMING EQUIPMENT,70133,OTHER GENERAL SERVICES,20530200,BAUCHI,13100123001500,Reform of Government and Governance - General
Purchase of a Geographical Point Survey (GPS) for Project Tracking and Measurement,500000.0,500000.0,0.0,5000000.0,0.0,326,0.55264,0.57112,011101000100,BAUCHI STATE PUBLIC PROCUREMENT BUREAU,23010133,PURCHASES OF SURVEYING EQUIPMENT,70133,OTHER GENERAL SERVICES,20530200,BAUCHI,13100123001600,Reform of Government and Governance - General
Provision of Befitting Office Building for the Staff of Due Process Office.,70000000.0,70000000.0,102640000.0,150000000.0,0.0,326,0.56356,0.58204,011101000100,BAUCHI STATE PUBLIC PROCUREMENT BUREAU,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70133,OTHER GENERAL SERVICES,20530200,BAUCHI,13100123001700,Reform of Government and Governance - General
Provision and Installation of Solar Power Electricty,8500000.0,8500000.0,0.0,10000000.0,0.0,326,0.57448,0.59296,011101000100,BAUCHI STATE PUBLIC PROCUREMENT BUREAU,23020103,CONSTRUCTION / PROVISION OF ELECTRICITY,70133,OTHER GENERAL SERVICES,20530200,BAUCHI,13100123001800,Reform of Government and Governance - General
Drilling of 1 No. Borehole in the Office,2750000.0,2750000.0,0.0,3000000.0,0.0,326,0.5854,0.60388,011101000100,BAUCHI STATE PUBLIC PROCUREMENT BUREAU,23020105,CONSTRUCTION / PROVISION OF WATER FACILITIES,70133,OTHER GENERAL SERVICES,20530200,BAUCHI,13100123001900,Reform of Government and Governance - General
Construction of Drainages and Landscaping of the office,10000000.0,10000000.0,0.0,20000000.0,0.0,326,0.59548,0.61396,011101000100,BAUCHI STATE PUBLIC PROCUREMENT BUREAU,23020118,CONSTRUCTION / PROVISION OF INFRASTRUCTURE,70133,OTHER GENERAL SERVICES,20530200,BAUCHI,13100123002000,Reform of Government and Governance - General
Renovation of Due Process Office at Bauchi.,6000000.0,6000000.0,0.0,30000000.0,0.0,326,0.6064,0.62487,011101000100,BAUCHI STATE PUBLIC PROCUREMENT BUREAU,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70133,OTHER GENERAL SERVICES,20530200,BAUCHI,13100123002100,Reform of Government and Governance - General
Undertaking of Assessment of Viability of Projects executed.,1000000.0,1000000.0,0.0,3000000.0,0.0,326,0.61732,0.63579,011101000100,BAUCHI STATE PUBLIC PROCUREMENT BUREAU,23050103,MONITORING AND EVALUATION,70133,OTHER GENERAL SERVICES,20542400,STATE WIDE,13100123002200,Reform of Government and Governance - General
Purchase and Licenses of Computer Software for Tracking Projects Initiate.,5000000.0,5000000.0,0.0,0.0,0.0,326,0.62823,0.64671,011101000100,BAUCHI STATE PUBLIC PROCUREMENT BUREAU,23050102,COMPUTER SOFTWARE ACQUISITION,70133,OTHER GENERAL SERVICES,20530200,BAUCHI,13100123002300,Reform of Government and Governance - General
Establishment of e-procurement Portal,0.0,0.0,0.0,500000000.0,0.0,326,0.63831,0.65679,011101000100,BAUCHI STATE PUBLIC PROCUREMENT BUREAU,23020127,CONSTRUCTION OF ICT INFRASTRUCTURES,70133,OTHER GENERAL SERVICES,20530200,BAUCHI,13100123002300,Reform of Government and Governance - General
Purchase of Land for the Construction of Offices and Buildings in the State Capital,1000000000.0,500000000.0,0.0,850000000.0,0.0,326,0.69206,0.71054,016100100100,GOVERNOR'S OFFICE (SSG's OFFICE),23010101,PURCHASE / ACQUISITION OF LAND,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20530200,BAUCHI,13100123003600,Reform of Government and Governance - General
Purchase of 10 Nos. of Maikano Generators in the SSG's Office for Distribution to some MDAs,161235283.84,161235283.84,4000000.0,161235283.84,0.0,326,0.70298,0.72146,016100100100,GOVERNOR'S OFFICE (SSG's OFFICE),23010119,PURCHASE OF POWER GENERATING SET,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20542400,STATE WIDE,13100123003700,Reform of Government and Governance - General
Purchase of 10 Nos. of Executive Cushion and 5 Nos. of Tables for Emirs Palaces at Bauchi,35000000.0,35000000.0,0.0,35000000.0,0.0,326,0.71306,0.73154,016100100100,GOVERNOR'S OFFICE (SSG's OFFICE),23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20542400,STATE WIDE,13100123003800,Reform of Government and Governance - General
"Purchase of 19 Nos. Cushions, 5Nos. of Beds and 10 Nos. of Table for Furnishing Government Guest houses",40000000.0,40000000.0,0.0,40000000.0,0.0,326,0.72398,0.74246,016100100100,GOVERNOR'S OFFICE (SSG's OFFICE),23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20542400,STATE WIDE,13100123003900,Reform of Government and Governance - General
Purchase of 5 Nos Cushions and 10 Nos of Centre Tables for Furnishing of Liaison Office Abuja,32130000.0,32130000.0,0.0,32130000.0,0.0,326,0.7349,0.75338,016100100100,GOVERNOR'S OFFICE (SSG's OFFICE),23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20542400,STATE WIDE,13100123004000,Reform of Government and Governance - General
Furnishing and Equipping of Bauchi Broadcasting Services (BBS) with 10 Nos. of Executive Chairs and 10 Nos. of Tables at the Chairman's Office,70000000.0,70000000.0,0.0,0.0,0.0,326,0.74498,0.76345,016100100100,GOVERNOR'S OFFICE (SSG's OFFICE),23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20530200,BAUCHI,13100123004100,Reform of Government and Governance - General
Furnishing of Sustainable Development Goals Office with 15 Nos. of Office Chairs and 15 Nos. of Tables,250000000.0,250000000.0,0.0,0.0,0.0,326,0.7559,0.77437,016100100100,GOVERNOR'S OFFICE (SSG's OFFICE),23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20530200,BAUCHI,13100123004200,Reform of Government and Governance - General
Purchase of Laptops and Desktops Computers for ICT Networking Infrastructures,250000000.0,250000000.0,0.0,0.0,0.0,326,0.76681,0.78529,016100100100,GOVERNOR'S OFFICE (SSG's OFFICE),23010113,PURCHASE OF COMPUTERS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20530200,BAUCHI,13100123004300,Reform of Government and Governance - General
Expansion of Office Accommodation at Hajj Camp,140000000.0,140000000.0,160486964.16,140000000.0,0.0,326,0.77773,0.79621,016100100100,GOVERNOR'S OFFICE (SSG's OFFICE),23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20530200,BAUCHI,13100123004400,Reform of Government and Governance - General
Renovations and Repairs of Government Guest Houses Across the State,30000000.0,30000000.0,0.0,300000000.0,0.0,326,0.78781,0.80629,016100100100,GOVERNOR'S OFFICE (SSG's OFFICE),23030101,REHABILITATION / REPAIRS OF RESIDENTIAL BUILDING,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20542400,STATE WIDE,13100123004800,Reform of Government and Governance - General
Rehabilitation of Liaison Office Kaduna at Kaduna,45000000.0,45000000.0,0.0,150000000.0,0.0,326,0.79873,0.81721,016100100100,GOVERNOR'S OFFICE (SSG's OFFICE),23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20542400,STATE WIDE,13100123005100,Reform of Government and Governance - General
"Construction and Provision of ICT Infrastructure at Fortune University Magama, Toro LGA",50000000.0,90000000.0,166000000.0,350000000.0,0.0,326,0.80965,0.82813,016100100100,GOVERNOR'S OFFICE (SSG's OFFICE),23020127,CONSTRUCTION OF ICT INFRASTRUCTURES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20531800,TORO,13100123005100,Reform of Government and Governance - General
Repairs and Rehabilitation of Abuja Liaison Office at Federal Capital Teritory,50000000.0,250000000.0,406900000.0,500000000.0,0.0,326,0.82057,0.83904,016100100100,GOVERNOR'S OFFICE (SSG's OFFICE),23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20542400,STATE WIDE,13100123005100,Reform of Government and Governance - General
Renovations and Repairs of 5 Nos. Government Guest Houses Across the State,50000000.0,50000000.0,71824407.78,300000000.0,0.0,326,0.83065,0.84912,016100100100,GOVERNOR'S OFFICE (SSG's OFFICE),23030101,REHABILITATION / REPAIRS OF RESIDENTIAL BUILDING,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20530200,BAUCHI,13100123005100,Reform of Government and Governance - General
Purchase of 20 nos of Motor Vehicles to Principals Officers at BAHA,440000000.0,440000000.0,0.0,600000000.0,0.0,326,0.8844,0.90288,011200300100,BAUCHI STATE HOUSE OF ASSEMBLY,23010105,PURCHASE OF MOTOR VEHICLES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20530200,BAUCHI,13100123009600,Reform of Government and Governance - General
Purchase of 2 nos of 32-Seater Toyota Buses for BAHA,118000000.0,118000000.0,0.0,100000000.0,0.0,326,0.89532,0.91379,011200300100,BAUCHI STATE HOUSE OF ASSEMBLY,23010108,PURCHASE OF BUSES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20530200,BAUCHI,13100123009700,Reform of Government and Governance - General
Furnishing of Honourable Members Offices with 32 Nos. Chairs and 32 Nos. of Tables,132240000.0,132240000.0,0.0,350000000.0,0.0,327,0.09323,0.1117,011200300100,BAUCHI STATE HOUSE OF ASSEMBLY,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20530200,BAUCHI,13100123009800,Reform of Government and Governance - General
Purchase of 10 nos. of Laptops Computer for the Principal Officers.,16800000.0,16800000.0,0.0,15000000.0,0.0,327,0.10415,0.12262,011200300100,BAUCHI STATE HOUSE OF ASSEMBLY,23010113,PURCHASE OF COMPUTERS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20530200,BAUCHI,13100123009900,Reform of Government and Governance - General
Purchase of 10 nos. of Computer Printers for the Principal Officers.,15540000.0,15540000.0,0.0,5000000.0,0.0,327,0.11506,0.13354,011200300100,BAUCHI STATE HOUSE OF ASSEMBLY,23010114,PURCHASE OF COMPUTER PRINTERS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20530200,BAUCHI,13100123010000,Reform of Government and Governance - General
Purchase of 3 nos. Photocopier Machines in the Office of the Speaker and the Clerk.,10000000.0,10000000.0,0.0,3000000.0,0.0,327,0.12598,0.14446,011200300100,BAUCHI STATE HOUSE OF ASSEMBLY,23010115,PURCHASE OF PHOTOCOPYING MACHINES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20530200,BAUCHI,13100123010100,Reform of Government and Governance - General
Purchase of 6 nos. of Scanners for Principal Member of BAHA,132000000.0,132000000.0,0.0,300000.0,0.0,327,0.13606,0.15454,011200300100,BAUCHI STATE HOUSE OF ASSEMBLY,23010118,PURCHASE OF SCANNERS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20530200,BAUCHI,13100123010200,Reform of Government and Governance - General
Purchase of 2Nos. Of Mikano Power Generating Set for the State House of Assembly,184000000.0,184000000.0,0.0,184000000.0,0.0,327,0.14698,0.16546,011200300100,BAUCHI STATE HOUSE OF ASSEMBLY,23010119,PURCHASE OF POWER GENERATING SET,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20530200,BAUCHI,13100123010300,Reform of Government and Governance - General
Purchase of 50 Nos. of Fire Extuinguishers and other fire fighting equipments,10000000.0,10000000.0,0.0,5000000.0,0.0,327,0.1579,0.17638,011200300100,BAUCHI STATE HOUSE OF ASSEMBLY,23010123,PURCHASE OF FIRE FIGHTING EQUIPMENT,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20530200,BAUCHI,13100123010400,Reform of Government and Governance - General
Provision of Assorted Professional Books for the Establishment Library at BAHA,40650000.0,40650000.0,0.0,50000000.0,0.0,327,0.16798,0.18645,011200300100,BAUCHI STATE HOUSE OF ASSEMBLY,23010125,PURCHASE OF LIBRARY BOOKS & EQUIPMENT,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20530200,BAUCHI,13100123010500,Reform of Government and Governance - General
Purchase of 5 Nos. of Dictator Security Equipment and its Security Accessories,9960000.0,9960000.0,0.0,45000000.0,0.0,327,0.1789,0.19737,011200300100,BAUCHI STATE HOUSE OF ASSEMBLY,23010128,PURCHASE OF SECURITY EQUIPMENT,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20530200,BAUCHI,13100123010600,Reform of Government and Governance - General
Construction of Office Complex at State House of Assembly at BAHA,50000000.0,50000000.0,99995463.18,0.0,0.0,327,0.18981,0.20829,011200300100,BAUCHI STATE HOUSE OF ASSEMBLY,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20530200,BAUCHI,13100123010700,Reform of Government and Governance - General
Complete Renovation of Existing House of Assembly Complex at Bauchi,45000000.0,95000000.0,158621030.0,0.0,0.0,327,0.20073,0.21921,011200300100,BAUCHI STATE HOUSE OF ASSEMBLY,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20530200,BAUCHI,13100123010800,Reform of Government and Governance - General
Provision of Solar Power Electricity at Bauchi State House of Assembly Complex,0.0,0.0,0.0,200000000.0,0.0,327,0.21081,0.22929,011200300100,BAUCHI STATE HOUSE OF ASSEMBLY,23020103,CONSTRUCTION / PROVISION OF ELECTRICITY,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20530200,BAUCHI,13100126000100,Reform of Government and Governance - General
Contituency Research on Implemented Projects and Programmes by Staff of Bauchi State House of Assembly,0.0,0.0,0.0,30000000.0,0.0,327,0.22173,0.24021,011200300100,BAUCHI STATE HOUSE OF ASSEMBLY,23050103,MONITORING AND EVALUATION,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20542400,STATE WIDE,13100126000200,Reform of Government and Governance - General
Purchase of Two (2) of 18 Seater Buses for Bauchi State House of Assembly Commission,50000000.0,50000000.0,0.0,0.0,0.0,327,0.27548,0.29396,011200300200,BAUCHI STATE HOUSE OF ASSEBMLY SERVICE COM.,23010108,PURCHASE OF BUSES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20530200,BAUCHI,13100100000000,Reform of Government and Governance - General
Purchase of 10 Nos of Office Chairs and 10 Nos of Office Tables for Bauchi State House of Assembly Commission,20000000.0,20000000.0,0.0,100000000.0,0.0,327,0.28556,0.30404,011200300200,BAUCHI STATE HOUSE OF ASSEBMLY SERVICE COM.,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20530200,BAUCHI,13100100000000,Reform of Government and Governance - General
Purchase of 15 Nos. of HP Destop Computers for Bauchi State House of Assembly Commission,10000000.0,10000000.0,0.0,0.0,0.0,327,0.29648,0.31496,011200300200,BAUCHI STATE HOUSE OF ASSEBMLY SERVICE COM.,23010113,PURCHASE OF COMPUTERS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20530200,BAUCHI,13100100000000,Reform of Government and Governance - General
Purchase of One no Computer Printers for Bauchi State House of Assembly Commission,2000000.0,2000000.0,0.0,0.0,0.0,327,0.3074,0.32588,011200300200,BAUCHI STATE HOUSE OF ASSEBMLY SERVICE COM.,23010114,PURCHASE OF COMPUTER PRINTERS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20530200,BAUCHI,13100100000000,Reform of Government and Governance - General
Purchase of One no Photocopying Machines for Bauchi State House of Assembly Commission,2000000.0,2000000.0,0.0,0.0,0.0,327,0.31832,0.33679,011200300200,BAUCHI STATE HOUSE OF ASSEBMLY SERVICE COM.,23010115,PURCHASE OF PHOTOCOPYING MACHINES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20530200,BAUCHI,13100100000000,Reform of Government and Governance - General
Purchase of One no Shredding Machines for Bauchi State House of Assembly Commission,500000.0,500000.0,0.0,2000000.0,0.0,327,0.32839,0.34687,011200300200,BAUCHI STATE HOUSE OF ASSEBMLY SERVICE COM.,23010117,PURCHASE OF SHREDDING MACHINES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20530200,BAUCHI,13100100000000,Reform of Government and Governance - General
Purchase of One no Scanner for Bauchi State House of Assembly Commission,300000.0,300000.0,0.0,1500000.0,0.0,327,0.33931,0.35779,011200300200,BAUCHI STATE HOUSE OF ASSEBMLY SERVICE COM.,23010118,PURCHASE OF SCANNERS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20530200,BAUCHI,13100100000000,Reform of Government and Governance - General
Purchase of Mikano Generating Set for Bauchi State House of Assembly Commission,30000000.0,30000000.0,0.0,20000000.0,0.0,327,0.35023,0.36871,011200300200,BAUCHI STATE HOUSE OF ASSEBMLY SERVICE COM.,23010119,PURCHASE OF POWER GENERATING SET,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20530200,BAUCHI,13100100000000,Reform of Government and Governance - General
Construction of Office Building in the House of Assembly Complex,200000000.0,200000000.0,0.0,0.0,0.0,327,0.36031,0.37879,011200300200,BAUCHI STATE HOUSE OF ASSEBMLY SERVICE COM.,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20530200,BAUCHI,13100100000000,Reform of Government and Governance - General
2 Km Roads Construction within the Assembly Office Complex,40000000.0,40000000.0,0.0,0.0,0.0,327,0.37123,0.38971,011200300200,BAUCHI STATE HOUSE OF ASSEBMLY SERVICE COM.,23020114,CONSTRUCTION / PROVISION OF ROADS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20530200,BAUCHI,13100100000000,Reform of Government and Governance - General
